X,Y,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,ObjectId
3382019.7136886,-253875.450797422,Rwanda,East,Jarama Health Centre,Health Centre,Public,-2.28,30.3812,GPS,51
3365499.90125488,-235538.768867826,Rwanda,East,Juru Health Centre,Health Centre,Public,-2.1154,30.2328,GPS,52
3401667.60381362,-223831.501765919,Rwanda,East,Kabarondo (Kayonza) Health Centre,Health Centre,Public,-2.0103,30.5577,GPS,53
3382854.60986955,-180829.337299768,Rwanda,East,Kabarore Health Centre,Health Centre,Public,-1.6242,30.3887,GPS,54
3361670.51077158,-150863.107289193,Rwanda,East,Kabuga (Karama Nyagatare) Health Centre,Health Centre,Public,-1.3551,30.1983999999999,GPS,55
3426191.28763536,-232442.004215048,Rwanda,East,Kabuye (kirehe) Health Centre,Health Centre,Public,-2.0876,30.7779999999999,GPS,56
3369741.17385411,-186999.001363764,Rwanda,East,Kageyo (Gatsibo) Health Centre,Health Centre,Public,-1.6796,30.2709,GPS,57
3412376.53882793,-204796.252930736,Rwanda,East,Kageyo I (Kayonza Gahini) Health Centre,Health Centre,Public,-1.8394,30.6539,GPS,58
3389611.7029607,-119875.884654833,Rwanda,East,Kagitumba Health Centre,Health Centre,Public,-1.0768,30.4494,GPS,59
3354078.52149948,-264114.148596527,Rwanda,East,Kamabuye Health Centre,Health Centre,Public,-2.3719,30.1301999999999,GPS,60
3406565.66140852,-228431.886662821,Rwanda,East,Karama (kayonza) Health Centre,Health Centre,Public,-2.0516,30.6017,GPS,61
3382832.34597139,-154559.973825725,Rwanda,East,Karangazi Health Centre,Health Centre,Public,-1.3883,30.3885,GPS,62
3374049.2381478,-231795.923555367,Rwanda,East,Karenge Health Centre,Health Centre,Public,-2.0818,30.3096,GPS,63
3370409.09079886,-164125.303216996,Rwanda,East,Katabagemu Health Centre,Health Centre,Public,-1.4742,30.2769,GPS,64
3375106.77331033,-174114.172988066,Rwanda,East,Kibondo Health Centre,Health Centre,Public,-1.5639,30.3190999999999,GPS,65
3400109.13094251,-240796.712613913,Rwanda,East,Kibungo Health Centre,Health Centre,Public,-2.1626,30.5437,GPS,66
3399630.4571321,-241164.329163963,Rwanda,East,Kibungo Referral Hospital,Referral Hospital,Public,-2.1659,30.5394,GPS,67
3416317.248802,-258075.575935269,Rwanda,East,Kigarama Health Centre,Health Centre,Public,-2.3177,30.6892999999999,Geonames,68
3412343.14298069,-252471.720069121,Rwanda,East,Kirehe District Hospital,District Hospital,Public,-2.2674,30.6536,GPS,69
3412343.14298069,-252382.594721966,Rwanda,East,Kirehe Health Centre,Health Centre,Public,-2.2666,30.6536,GPS,70
3391593.18989681,-231339.212799569,Rwanda,East,Kirwa Health Centre,Health Centre,Public,-2.0777,30.4671999999999,GPS,71
3382420.46385545,-196643.630298101,Rwanda,East,Kiziguro (gatsibo) Health Centre,Health Centre,Public,-1.7662,30.3847999999999,GPS,72
3382420.46385545,-196688.179263697,Rwanda,East,Kiziguro District Hospital,District Hospital,Public,-1.7666,30.3847999999999,GPS,73
